"Plot Title: 7"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786043, SEN S/N: 9786043)","Coupler Attached (LGR S/N: 9786043)","Host Connected (LGR S/N: 9786043)","Coupler Detached (LGR S/N: 9786043)","End Of File (LGR S/N: 9786043)"
1,2019/12/04 03:00:00 PM,17.094,,,,
2,2019/12/04 04:00:00 PM,16.999,,,,
3,2019/12/04 05:00:00 PM,16.999,,,,
4,2019/12/04 06:00:00 PM,16.999,,,,
5,2019/12/04 07:00:00 PM,16.999,,,,
6,2019/12/04 08:00:00 PM,16.999,,,,
7,2019/12/04 09:00:00 PM,11.139,,,,
8,2019/12/04 10:00:00 PM,6.166,,,,
9,2019/12/04 11:00:00 PM,5.450,,,,
10,2019/12/05 12:00:00 AM,5.450,,,,
11,2019/12/05 01:00:00 AM,5.450,,,,
12,2019/12/05 02:00:00 AM,5.347,,,,
13,2019/12/05 03:00:00 AM,5.347,,,,
14,2019/12/05 04:00:00 AM,5.450,,,,
15,2019/12/05 05:00:00 AM,5.347,,,,
16,2019/12/05 06:00:00 AM,5.450,,,,
17,2019/12/05 07:00:00 AM,5.450,,,,
18,2019/12/05 08:00:00 AM,5.347,,,,
19,2019/12/05 09:00:00 AM,11.236,,,,
20,2019/12/05 10:00:00 AM,16.237,,,,
21,2019/12/05 11:00:00 AM,16.999,,,,
22,2019/12/05 12:00:00 PM,16.903,,,,
23,2019/12/05 01:00:00 PM,16.999,,,,
24,2019/12/05 02:00:00 PM,17.094,,,,
25,2019/12/05 03:00:00 PM,16.999,,,,
26,2019/12/05 04:00:00 PM,16.903,,,,
27,2019/12/05 05:00:00 PM,16.903,,,,
28,2019/12/05 06:00:00 PM,16.999,,,,
29,2019/12/05 07:00:00 PM,16.999,,,,
30,2019/12/05 08:00:00 PM,16.903,,,,
31,2019/12/05 09:00:00 PM,11.139,,,,
32,2019/12/05 10:00:00 PM,6.166,,,,
33,2019/12/05 11:00:00 PM,5.450,,,,
34,2019/12/06 12:00:00 AM,5.450,,,,
35,2019/12/06 01:00:00 AM,5.450,,,,
36,2019/12/06 02:00:00 AM,5.347,,,,
37,2019/12/06 03:00:00 AM,5.347,,,,
38,2019/12/06 04:00:00 AM,5.347,,,,
39,2019/12/06 05:00:00 AM,5.347,,,,
40,2019/12/06 06:00:00 AM,5.347,,,,
41,2019/12/06 07:00:00 AM,5.347,,,,
42,2019/12/06 08:00:00 AM,5.347,,,,
43,2019/12/06 09:00:00 AM,11.139,,,,
44,2019/12/06 10:00:00 AM,16.237,,,,
45,2019/12/06 11:00:00 AM,16.903,,,,
46,2019/12/06 12:00:00 PM,16.903,,,,
47,2019/12/06 01:00:00 PM,16.903,,,,
48,2019/12/06 02:00:00 PM,16.999,,,,
49,2019/12/06 03:00:00 PM,17.094,,,,
50,2019/12/06 04:00:00 PM,16.999,,,,
51,2019/12/06 05:00:00 PM,16.903,,,,
52,2019/12/06 06:00:00 PM,16.999,,,,
53,2019/12/06 07:00:00 PM,17.094,,,,
