"Plot Title: 14"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786027, SEN S/N: 9786027)","Bad Battery (LGR S/N: 9786027)","Host Connected (LGR S/N: 9786027)","Coupler Attached (LGR S/N: 9786027)","Coupler Detached (LGR S/N: 9786027)","End Of File (LGR S/N: 9786027)"
1,2019/12/10 06:00:00 PM,12.883,,,,,
2,2019/12/10 07:00:00 PM,4.623,,,,,
3,2019/12/10 08:00:00 PM,4.623,,,,,
4,2019/12/10 09:00:00 PM,4.623,,,,,
5,2019/12/10 10:00:00 PM,4.623,,,,,
6,2019/12/10 11:00:00 PM,4.623,,,,,
7,2019/12/11 12:00:00 AM,4.727,,,,,
8,2019/12/11 01:00:00 AM,4.623,,,,,
9,2019/12/11 02:00:00 AM,4.623,,,,,
10,2019/12/11 03:00:00 AM,4.623,,,,,
11,2019/12/11 04:00:00 AM,4.623,,,,,
12,2019/12/11 05:00:00 AM,4.623,,,,,
13,2019/12/11 06:00:00 AM,4.727,,,,,
14,2019/12/11 07:00:00 AM,4.623,,,,,
15,2019/12/11 08:00:00 AM,4.623,,,,,
16,2019/12/11 09:00:00 AM,4.623,,,,,
17,2019/12/11 10:00:00 AM,4.623,,,,,
18,2019/12/11 11:00:00 AM,4.623,,,,,
19,2019/12/11 12:00:00 PM,4.727,,,,,
20,2019/12/11 01:00:00 PM,4.623,,,,,
21,2019/12/11 02:00:00 PM,4.623,,,,,
22,2019/12/11 03:00:00 PM,4.623,,,,,
23,2019/12/11 04:00:00 PM,4.623,,,,,
24,2019/12/11 05:00:00 PM,4.623,,,,,
25,2019/12/11 06:00:00 PM,4.727,,,,,
26,2019/12/11 07:00:00 PM,4.623,,,,,
27,2019/12/11 08:00:00 PM,4.623,,,,,
28,2019/12/11 09:00:00 PM,4.623,,,,,
29,2019/12/11 10:00:00 PM,4.623,,,,,
30,2019/12/11 11:00:00 PM,4.623,,,,,
31,2019/12/12 12:00:00 AM,4.727,,,,,
32,2019/12/12 01:00:00 AM,4.623,,,,,
33,2019/12/12 02:00:00 AM,4.623,,,,,
34,2019/12/12 03:00:00 AM,4.623,,,,,
35,2019/12/12 04:00:00 AM,4.623,,,,,
36,2019/12/12 05:00:00 AM,4.623,,,,,
37,2019/12/12 06:00:00 AM,4.727,,,,,
38,2019/12/12 07:00:00 AM,4.623,,,,,
39,2019/12/12 08:00:00 AM,4.623,,,,,
40,2019/12/12 09:00:00 AM,4.623,,,,,
41,2019/12/12 10:00:00 AM,4.623,,,,,
42,2019/12/12 11:00:00 AM,4.623,,,,,
43,2019/12/12 12:00:00 PM,4.727,,,,,
44,2019/12/12 01:00:00 PM,4.623,,,,,
45,2019/12/12 02:00:00 PM,4.623,,,,,
46,2019/12/12 03:00:00 PM,4.623,,,,,
47,2019/12/12 04:00:00 PM,4.623,,,,,
48,2019/12/12 05:00:00 PM,4.623,,,,,
49,2019/12/12 06:00:00 PM,4.727,,,,,
50,2019/12/12 07:00:00 PM,4.623,,,,,
51,2019/12/12 08:00:00 PM,4.623,,,,,
52,2019/12/12 09:00:00 PM,4.623,,,,,
53,2019/12/12 10:00:00 PM,4.623,,,,,
54,2019/12/12 11:00:00 PM,4.623,,,,,
55,2019/12/13 12:00:00 AM,4.727,,,,,
56,2019/12/13 01:00:00 AM,4.623,,,,,
57,2019/12/13 02:00:00 AM,4.623,,,,,
58,2019/12/13 03:00:00 AM,4.623,,,,,
59,2019/12/13 04:00:00 AM,4.623,,,,,
60,2019/12/13 05:00:00 AM,4.623,,,,,
61,2019/12/13 06:00:00 AM,4.727,,,,,
62,2019/12/13 07:00:00 AM,4.623,,,,,
63,2019/12/13 08:00:00 AM,4.623,,,,,
64,2019/12/13 09:00:00 AM,4.623,,,,,
65,2019/12/13 10:00:00 AM,4.623,,,,,
66,2019/12/13 11:00:00 AM,4.623,,,,,
67,2019/12/13 12:00:00 PM,4.727,,,,,
68,2019/12/13 01:00:00 PM,5.347,,,,,
69,2019/12/13 02:00:00 PM,8.382,,,,,
70,2019/12/13 03:00:00 PM,6.978,,,,,
71,2019/12/13 04:00:00 PM,7.179,,,,,
72,2019/12/13 05:00:00 PM,6.370,,,,,
73,2019/12/13 06:00:00 PM,5.962,,,,,
74,2019/12/13 07:00:00 PM,5.552,,,,,
75,2019/12/13 08:00:00 PM,5.244,,,,,
76,2019/12/13 09:00:00 PM,5.037,,,,,
