"Plot Title: greenhouse9"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786029, SEN S/N: 9786029)","Coupler Attached (LGR S/N: 9786029)","Host Connected (LGR S/N: 9786029)","Coupler Detached (LGR S/N: 9786029)","Stopped (LGR S/N: 9786029)","End Of File (LGR S/N: 9786029)"
1,2020/02/19 05:00:00 PM,25.513,,,,,
2,2020/02/19 06:00:00 PM,23.388,,,,,
3,2020/02/19 07:00:00 PM,22.142,,,,,
4,2020/02/19 08:00:00 PM,21.282,,,,,
5,2020/02/19 09:00:00 PM,21.282,,,,,
6,2020/02/19 10:00:00 PM,21.378,,,,,
7,2020/02/19 11:00:00 PM,19.662,,,,,
8,2020/02/20 12:00:00 AM,20.234,,,,,
9,2020/02/20 01:00:00 AM,20.615,,,,,
10,2020/02/20 02:00:00 AM,20.805,,,,,
11,2020/02/20 03:00:00 AM,20.615,,,,,
12,2020/02/20 04:00:00 AM,20.615,,,,,
13,2020/02/20 05:00:00 AM,20.615,,,,,
14,2020/02/20 06:00:00 AM,20.710,,,,,
15,2020/02/20 07:00:00 AM,23.388,,,,,
16,2020/02/20 08:00:00 AM,24.351,,,,,
17,2020/02/20 09:00:00 AM,23.292,,,,,
18,2020/02/20 10:00:00 AM,24.545,,,,,
19,2020/02/20 11:00:00 AM,27.567,,,,,
20,2020/02/20 12:00:00 PM,35.971,,,,,
21,2020/02/20 01:00:00 PM,41.108,,,,,
22,2020/02/20 02:00:00 PM,40.530,,,,,
23,2020/02/20 03:00:00 PM,34.585,,,,,
24,2020/02/20 04:00:00 PM,29.252,,,,,
25,2020/02/20 05:00:00 PM,26.488,,,,,
26,2020/02/20 06:00:00 PM,23.004,,,,,
27,2020/02/20 07:00:00 PM,22.621,,,,,
28,2020/02/20 08:00:00 PM,21.855,,,,,
29,2020/02/20 09:00:00 PM,21.282,,,,,
30,2020/02/20 10:00:00 PM,21.378,,,,,
31,2020/02/20 11:00:00 PM,19.853,,,,,
32,2020/02/21 12:00:00 AM,20.043,,,,,
33,2020/02/21 01:00:00 AM,20.519,,,,,
34,2020/02/21 02:00:00 AM,20.901,,,,,
35,2020/02/21 03:00:00 AM,21.187,,,,,
36,2020/02/21 04:00:00 AM,21.091,,,,,
37,2020/02/21 05:00:00 AM,20.996,,,,,
38,2020/02/21 06:00:00 AM,20.996,,,,,
39,2020/02/21 07:00:00 AM,23.773,,,,,
40,2020/02/21 08:00:00 AM,23.966,,,,,
41,2020/02/21 09:00:00 AM,24.158,,,,,
42,2020/02/21 10:00:00 AM,24.641,,,,,
43,2020/02/21 11:00:00 AM,28.953,,,,,
44,2020/02/21 12:00:00 PM,35.009,,,,,
45,2020/02/21 01:00:00 PM,38.602,,,,,
46,2020/02/21 02:00:00 PM,40.185,,,,,
47,2020/02/21 03:00:00 PM,31.676,,,,,
48,2020/02/21 04:00:00 PM,26.683,,,,,
49,2020/02/21 05:00:00 PM,24.255,,,,,
50,2020/02/21 06:00:00 PM,22.525,,,,,
51,2020/02/21 07:00:00 PM,21.855,,,,,
52,2020/02/21 08:00:00 PM,20.424,,,,,
53,2020/02/21 09:00:00 PM,20.329,,,,,
54,2020/02/21 10:00:00 PM,21.282,,,,,
55,2020/02/21 11:00:00 PM,19.282,,,,,
56,2020/02/22 12:00:00 AM,19.282,,,,,
57,2020/02/22 01:00:00 AM,19.948,,,,,
58,2020/02/22 02:00:00 AM,20.424,,,,,
59,2020/02/22 03:00:00 AM,20.901,,,,,
60,2020/02/22 04:00:00 AM,20.805,,,,,
61,2020/02/22 05:00:00 AM,20.901,,,,,
62,2020/02/22 06:00:00 AM,21.187,,,,,
63,2020/02/22 07:00:00 AM,23.677,,,,,
64,2020/02/22 08:00:00 AM,21.378,,,,,
65,2020/02/22 09:00:00 AM,19.853,,,,,
