"Plot Title: greenhouse8"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262354, SEN S/N: 2262354)","Coupler Attached (LGR S/N: 2262354)","Host Connected (LGR S/N: 2262354)","Coupler Detached (LGR S/N: 2262354)","Stopped (LGR S/N: 2262354)","End Of File (LGR S/N: 2262354)"
1,2020/02/19 05:00:00 PM,25.125,,,,,
2,2020/02/19 06:00:00 PM,23.677,,,,,
3,2020/02/19 07:00:00 PM,22.333,,,,,
4,2020/02/19 08:00:00 PM,22.046,,,,,
5,2020/02/19 09:00:00 PM,22.046,,,,,
6,2020/02/19 10:00:00 PM,22.046,,,,,
7,2020/02/19 11:00:00 PM,19.567,,,,,
8,2020/02/20 12:00:00 AM,20.138,,,,,
9,2020/02/20 01:00:00 AM,20.615,,,,,
10,2020/02/20 02:00:00 AM,20.805,,,,,
11,2020/02/20 03:00:00 AM,20.615,,,,,
12,2020/02/20 04:00:00 AM,20.710,,,,,
13,2020/02/20 05:00:00 AM,20.710,,,,,
14,2020/02/20 06:00:00 AM,20.805,,,,,
15,2020/02/20 07:00:00 AM,24.351,,,,,
16,2020/02/20 08:00:00 AM,25.513,,,,,
17,2020/02/20 09:00:00 AM,24.641,,,,,
18,2020/02/20 10:00:00 AM,25.805,,,,,
19,2020/02/20 11:00:00 AM,28.953,,,,,
20,2020/02/20 12:00:00 PM,30.558,,,,,
21,2020/02/20 01:00:00 PM,28.953,,,,,
22,2020/02/20 02:00:00 PM,31.472,,,,,
23,2020/02/20 03:00:00 PM,29.452,,,,,
24,2020/02/20 04:00:00 PM,26.879,,,,,
25,2020/02/20 05:00:00 PM,24.448,,,,,
26,2020/02/20 06:00:00 PM,22.812,,,,,
27,2020/02/20 07:00:00 PM,22.908,,,,,
28,2020/02/20 08:00:00 PM,22.238,,,,,
29,2020/02/20 09:00:00 PM,22.238,,,,,
30,2020/02/20 10:00:00 PM,21.951,,,,,
31,2020/02/20 11:00:00 PM,19.758,,,,,
32,2020/02/21 12:00:00 AM,19.948,,,,,
33,2020/02/21 01:00:00 AM,20.519,,,,,
34,2020/02/21 02:00:00 AM,20.996,,,,,
35,2020/02/21 03:00:00 AM,21.282,,,,,
36,2020/02/21 04:00:00 AM,21.091,,,,,
37,2020/02/21 05:00:00 AM,21.091,,,,,
38,2020/02/21 06:00:00 AM,21.091,,,,,
39,2020/02/21 07:00:00 AM,24.835,,,,,
40,2020/02/21 08:00:00 AM,25.416,,,,,
41,2020/02/21 09:00:00 AM,25.805,,,,,
42,2020/02/21 10:00:00 AM,26.000,,,,,
43,2020/02/21 11:00:00 AM,30.255,,,,,
44,2020/02/21 12:00:00 PM,31.166,,,,,
45,2020/02/21 01:00:00 PM,29.452,,,,,
46,2020/02/21 02:00:00 PM,31.778,,,,,
47,2020/02/21 03:00:00 PM,30.255,,,,,
48,2020/02/21 04:00:00 PM,26.683,,,,,
49,2020/02/21 05:00:00 PM,24.545,,,,,
50,2020/02/21 06:00:00 PM,22.812,,,,,
51,2020/02/21 07:00:00 PM,22.333,,,,,
52,2020/02/21 08:00:00 PM,21.760,,,,,
53,2020/02/21 09:00:00 PM,21.664,,,,,
54,2020/02/21 10:00:00 PM,22.717,,,,,
55,2020/02/21 11:00:00 PM,19.758,,,,,
56,2020/02/22 12:00:00 AM,19.662,,,,,
57,2020/02/22 01:00:00 AM,20.234,,,,,
58,2020/02/22 02:00:00 AM,20.424,,,,,
59,2020/02/22 03:00:00 AM,20.901,,,,,
60,2020/02/22 04:00:00 AM,20.710,,,,,
61,2020/02/22 05:00:00 AM,20.901,,,,,
62,2020/02/22 06:00:00 AM,21.187,,,,,
63,2020/02/22 07:00:00 AM,24.641,,,,,
64,2020/02/22 08:00:00 AM,21.760,,,,,
65,2020/02/22 09:00:00 AM,20.329,,,,,
66,2020/02/22 10:00:00 AM,19.853,,,,,
67,2020/02/22 11:00:00 AM,22.238,,,,,
68,2020/02/22 12:00:00 PM,25.416,,,,,
69,2020/02/22 01:00:00 PM,27.370,,,,,
70,2020/02/22 02:00:00 PM,27.665,,,,,
71,2020/02/22 03:00:00 PM,25.610,,,,,
72,2020/02/22 04:00:00 PM,22.812,,,,,
73,2020/02/22 05:00:00 PM,20.519,,,,,
74,2020/02/22 06:00:00 PM,21.664,,,,,
75,2020/02/22 07:00:00 PM,20.138,,,,,
76,2020/02/22 08:00:00 PM,20.043,,,,,
77,2020/02/22 09:00:00 PM,20.043,,,,,
78,2020/02/22 10:00:00 PM,21.664,,,,,
79,2020/02/22 11:00:00 PM,18.996,,,,,
80,2020/02/23 12:00:00 AM,18.996,,,,,
81,2020/02/23 01:00:00 AM,18.806,,,,,
82,2020/02/23 02:00:00 AM,19.567,,,,,
83,2020/02/23 03:00:00 AM,18.901,,,,,
84,2020/02/23 04:00:00 AM,18.901,,,,,
85,2020/02/23 05:00:00 AM,18.901,,,,,
86,2020/02/23 06:00:00 AM,19.567,,,,,
87,2020/02/23 07:00:00 AM,22.046,,,,,
88,2020/02/23 08:00:00 AM,23.966,,,,,
89,2020/02/23 09:00:00 AM,24.835,,,,,
90,2020/02/23 10:00:00 AM,26.390,,,,,
91,2020/02/23 11:00:00 AM,25.416,,,,,
92,2020/02/23 12:00:00 PM,26.195,,,,,
93,2020/02/23 01:00:00 PM,25.610,,,,,
94,2020/02/23 02:00:00 PM,25.708,,,,,
95,2020/02/23 03:00:00 PM,24.931,,,,,
96,2020/02/23 04:00:00 PM,24.738,,,,,
97,2020/02/23 05:00:00 PM,24.351,,,,,
98,2020/02/23 06:00:00 PM,23.869,,,,,
99,2020/02/23 07:00:00 PM,21.569,,,,,
100,2020/02/23 08:00:00 PM,20.615,,,,,
101,2020/02/23 09:00:00 PM,20.234,,,,,
102,2020/02/23 10:00:00 PM,21.378,,,,,
103,2020/02/23 11:00:00 PM,19.187,,,,,
104,2020/02/24 12:00:00 AM,19.567,,,,,
105,2020/02/24 01:00:00 AM,18.996,,,,,
106,2020/02/24 02:00:00 AM,19.567,,,,,
107,2020/02/24 03:00:00 AM,19.282,,,,,
108,2020/02/24 04:00:00 AM,19.377,,,,,
109,2020/02/24 05:00:00 AM,19.472,,,,,
110,2020/02/24 06:00:00 AM,20.043,,,,,
111,2020/02/24 07:00:00 AM,22.812,,,,,
112,2020/02/24 08:00:00 AM,23.388,,,,,
113,2020/02/24 09:00:00 AM,24.545,,,,,
114,2020/02/24 10:00:00 AM,25.610,,,,,
115,2020/02/24 11:00:00 AM,26.683,,,,,
116,2020/02/24 12:00:00 PM,30.054,,,,,
117,2020/02/24 01:00:00 PM,27.961,,,,,
118,2020/02/24 02:00:00 PM,27.075,,,,,
119,2020/02/24 03:00:00 PM,29.053,,,,,
120,2020/02/24 04:00:00 PM,27.567,,,,,
121,2020/02/24 05:00:00 PM,24.641,,,,,
122,2020/02/24 06:00:00 PM,21.378,,,,,
123,2020/02/24 07:00:00 PM,20.424,,,,,
124,2020/02/24 08:00:00 PM,20.519,,,,,
125,2020/02/24 09:00:00 PM,21.187,,,,,
126,2020/02/24 10:00:00 PM,21.378,,,,,
127,2020/02/24 11:00:00 PM,19.187,,,,,
128,2020/02/25 12:00:00 AM,19.092,,,,,
129,2020/02/25 01:00:00 AM,18.901,,,,,
130,2020/02/25 02:00:00 AM,19.662,,,,,
131,2020/02/25 03:00:00 AM,20.329,,,,,
132,2020/02/25 04:00:00 AM,19.948,,,,,
133,2020/02/25 05:00:00 AM,19.758,,,,,
134,2020/02/25 06:00:00 AM,19.948,,,,,
135,2020/02/25 07:00:00 AM,24.062,,,,,
136,2020/02/25 08:00:00 AM,24.062,,,,,
137,2020/02/25 09:00:00 AM,24.158,,,,,
138,2020/02/25 10:00:00 AM,17.760,,,,,
139,2020/02/25 11:00:00 AM,24.931,,,,,
140,2020/02/25 12:00:00 PM,26.683,,,,,
141,2020/02/25 01:00:00 PM,25.610,,,,,
142,2020/02/25 02:00:00 PM,25.805,,,,,
143,2020/02/25 03:00:00 PM,23.966,,,,,
144,2020/02/25 04:00:00 PM,23.773,,,,,
145,2020/02/25 05:00:00 PM,22.812,,,,,
146,2020/02/25 06:00:00 PM,20.901,,,,,
147,2020/02/25 07:00:00 PM,21.187,,,,,
148,2020/02/25 08:00:00 PM,20.424,,,,,
149,2020/02/25 09:00:00 PM,19.948,,,,,
150,2020/02/25 10:00:00 PM,20.996,,,,,
151,2020/02/25 11:00:00 PM,19.187,,,,,
152,2020/02/26 12:00:00 AM,19.282,,,,,
153,2020/02/26 01:00:00 AM,19.662,,,,,
154,2020/02/26 02:00:00 AM,20.138,,,,,
155,2020/02/26 03:00:00 AM,20.138,,,,,
156,2020/02/26 04:00:00 AM,19.948,,,,,
157,2020/02/26 05:00:00 AM,19.758,,,,,
158,2020/02/26 06:00:00 AM,20.234,,,,,
159,2020/02/26 07:00:00 AM,23.677,,,,,
160,2020/02/26 08:00:00 AM,24.158,,,,,
161,2020/02/26 09:00:00 AM,24.351,,,,,
162,2020/02/26 10:00:00 AM,25.513,,,,,
163,2020/02/26 11:00:00 AM,26.097,,,,,
164,2020/02/26 12:00:00 PM,26.000,,,,,
165,2020/02/26 01:00:00 PM,26.195,,,,,
166,2020/02/26 02:00:00 PM,26.000,,,,,
167,2020/02/26 03:00:00 PM,27.468,,,,,
168,2020/02/26 04:00:00 PM,25.513,,,,,
169,2020/02/26 05:00:00 PM,23.484,,,,,
170,2020/02/26 06:00:00 PM,21.282,,,,,
171,2020/02/26 07:00:00 PM,20.329,,,,,
172,2020/02/26 08:00:00 PM,19.758,,,,,
173,2020/02/26 09:00:00 PM,20.424,,,,,
174,2020/02/26 10:00:00 PM,20.615,,,,,
175,2020/02/26 11:00:00 PM,18.901,,,,,
176,2020/02/27 12:00:00 AM,19.187,,,,,
177,2020/02/27 01:00:00 AM,19.567,,,,,
178,2020/02/27 02:00:00 AM,19.662,,,,,
179,2020/02/27 03:00:00 AM,19.567,,,,,
180,2020/02/27 04:00:00 AM,19.567,,,,,
181,2020/02/27 05:00:00 AM,19.567,,,,,
182,2020/02/27 06:00:00 AM,19.567,,,,,
183,2020/02/27 07:00:00 AM,22.908,,,,,
184,2020/02/27 08:00:00 AM,23.484,,,,,
185,2020/02/27 09:00:00 AM,23.484,,,,,
186,2020/02/27 10:00:00 AM,23.966,,,,,
187,2020/02/27 11:00:00 AM,24.062,,,,,
188,2020/02/27 12:00:00 PM,26.292,,,,,
189,2020/02/27 01:00:00 PM,27.272,,,,,
190,2020/02/27 02:00:00 PM,25.610,,,,,
191,2020/02/27 03:00:00 PM,25.610,,,,,
192,2020/02/27 04:00:00 PM,25.222,,,,,
193,2020/02/27 05:00:00 PM,23.677,,,,,
194,2020/02/27 06:00:00 PM,21.378,,,,,
195,2020/02/27 07:00:00 PM,20.615,,,,,
196,2020/02/27 08:00:00 PM,21.091,,,,,
197,2020/02/27 09:00:00 PM,20.329,,,,,
198,2020/02/27 10:00:00 PM,22.525,,,,,
199,2020/02/27 11:00:00 PM,19.662,,,,,
200,2020/02/28 12:00:00 AM,19.377,,,,,
201,2020/02/28 01:00:00 AM,19.853,,,,,
202,2020/02/28 02:00:00 AM,20.043,,,,,
203,2020/02/28 03:00:00 AM,20.043,,,,,
204,2020/02/28 04:00:00 AM,20.234,,,,,
205,2020/02/28 05:00:00 AM,19.758,,,,,
206,2020/02/28 06:00:00 AM,19.758,,,,,
207,2020/02/28 07:00:00 AM,23.004,,,,,
208,2020/02/28 08:00:00 AM,23.773,,,,,
209,2020/02/28 09:00:00 AM,24.931,,,,,
210,2020/02/28 10:00:00 AM,25.416,,,,,
211,2020/02/28 11:00:00 AM,26.390,,,,,
212,2020/02/28 12:00:00 PM,25.222,,,,,
213,2020/02/28 01:00:00 PM,25.708,,,,,
214,2020/02/28 02:00:00 PM,23.677,,,,,
215,2020/02/28 03:00:00 PM,24.641,,,,,
216,2020/02/28 04:00:00 PM,26.000,,,,,
217,2020/02/28 05:00:00 PM,23.677,,,,,
218,2020/02/28 06:00:00 PM,22.429,,,,,
219,2020/02/28 07:00:00 PM,21.664,,,,,
220,2020/02/28 08:00:00 PM,22.429,,,,,
221,2020/02/28 09:00:00 PM,21.473,,,,,
222,2020/02/28 10:00:00 PM,22.429,,,,,
223,2020/02/28 11:00:00 PM,19.948,,,,,
224,2020/02/29 12:00:00 AM,19.187,,,,,
225,2020/02/29 01:00:00 AM,18.996,,,,,
226,2020/02/29 02:00:00 AM,19.853,,,,,
227,2020/02/29 03:00:00 AM,19.948,,,,,
228,2020/02/29 04:00:00 AM,19.282,,,,,
229,2020/02/29 05:00:00 AM,20.519,,,,,
230,2020/02/29 06:00:00 AM,20.996,,,,,
231,2020/02/29 07:00:00 AM,24.062,,,,,
232,2020/02/29 08:00:00 AM,24.835,,,,,
233,2020/02/29 09:00:00 AM,25.610,,,,,
234,2020/02/29 10:00:00 AM,26.195,,,,,
235,2020/02/29 11:00:00 AM,30.154,,,,,
236,2020/02/29 12:00:00 PM,29.953,,,,,
237,2020/02/29 01:00:00 PM,34.058,,,,,
238,2020/02/29 02:00:00 PM,30.760,,,,,
239,2020/02/29 03:00:00 PM,30.154,,,,,
240,2020/02/29 04:00:00 PM,27.567,,,,,
